Generation,BestFitness,AverageFitness,WorstFitness,FitnessRange,NetworkComplexity,DiversityIndex,LearningRate,SuccessRate,JumpEfficiency
5,3558.228,3535.078,3523.657,34.57153,134.8,20.21876,0,0,0.3764209
10,3558.176,3552.631,3524.109,34.06665,135,4.49175,-0.05273438,0,0.4471371
15,1549.108,1546.054,1541.142,7.966309,134.9,2.09063,-2009.068,0,0.3019106
20,22.36569,1.714678,0,22.36569,133.3,13.89254,-1526.742,0.9,0.5964823
25,34.8844,7.266366,0,34.8844,134.3,24.36665,12.51871,1,0.8826259
30,34.81395,6.938436,0,34.81395,133.8,19.0368,-0.07044601,1,0.3140787
35,38.27253,6.954817,0,38.27253,134.2,25.65398,3.458572,1,0.8717198
40,49.05688,7.606079,0,49.05688,134.4,25.01991,10.78435,1,0.5158237
45,34.94947,9.092257,0,34.94947,134.4,18.17178,-14.10741,1,0.5639079
50,61.45053,9.73349,0,61.45053,135.1,27.64539,26.50106,1,0.3414189
55,61.42578,8.746065,0,61.42578,134.9,27.11795,-0.02474594,1,0.4043857
60,21.54655,5.725529,0,21.54655,134.9,15.69636,-39.87923,1,0.4379371
65,51.31235,9.070253,0,51.31235,134.2,23.55773,29.7658,1,0.5288664
70,35.35612,13.52578,0,35.35612,134.3,20.04649,-15.95623,1,0.6494758
75,10.02529,4.439002,0,10.02529,135.5,5.582755,-25.33083,1,0.4110678
80,37.26056,11.11208,0,37.26056,134.7,21.51922,27.23527,1,0.4713516
85,37.95329,6.936974,0,37.95329,135.4,22.23237,0.6927338,1,0.7018523
90,38.32965,9.63351,0,38.32965,135,23.24537,0.376358,1,0.4840484
95,35.30196,9.729165,0,35.30196,135.1,19.74647,-3.027691,1,0.8352457
100,46.23333,12.33714,0,46.23333,134.8,19.92673,10.93137,1,0.5477216
105,64.19715,11.78378,0,64.19715,135,25.734,17.96383,1,0.8301974
110,35.12479,11.04824,0,35.12479,134.9,22.30994,-29.07236,1,0.6820946
115,43.85407,3.540207,0,43.85407,134.7,22.96925,8.729282,1,0.4701836
120,38.77825,4.101795,0,38.77825,134.9,20.94658,-5.075821,1,0.3461201
125,45.1124,13.66967,0,45.1124,134.9,22.55353,6.334152,1,0.4018538
130,35.16121,14.57905,0,35.16121,134.2,20.39491,-9.951195,1,0.8453242
135,49.7922,13.43671,0,49.7922,134.9,22.78394,14.63099,1,0.7318163
140,21.58257,12.0035,0,21.58257,135.2,9.578516,-28.20963,1,0.5241818
145,35.38493,17.83798,0,35.38493,134.5,17.38063,13.80236,1,0.8375601
150,34.95049,12.57479,0,34.95049,135,22.27458,-0.4344482,1,0.3843206
